AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2010;2;chocó;640151.0;156000.0;3793.911356124453;0.005926588189543488;924.547757568784
2010;3;chocó;640151.0;160000.0;3793.911356124453;0.005926588189543488;948.254110326958
2010;4;chocó;640151.0;176000.0;3793.911356124453;0.005926588189543488;1043.0795213596539
2010;1;córdoba;640151.0;148000.0;11607.732179651237;0.018132803322421173;2683.6548917183336
2010;2;córdoba;640151.0;156000.0;11607.732179651237;0.018132803322421173;2828.717318297703
2010;3;córdoba;640151.0;160000.0;11607.732179651237;0.018132803322421173;2901.248531587388
2010;4;córdoba;640151.0;176000.0;11607.732179651237;0.018132803322421173;3191.3733847461262
2010;1;cundinamarca;640151.0;148000.0;38164.356792697385;0.05961774142772156;8823.425731302792
2010;2;cundinamarca;640151.0;156000.0;38164.356792697385;0.05961774142772156;9300.367662724564
2010;3;cundinamarca;640151.0;160000.0;38164.356792697385;0.05961774142772156;9538.83862843545
2010;4;cundinamarca;640151.0;176000.0;38164.356792697385;0.05961774142772156;10492.722491278995
2010;1;guainía;640151.0;148000.0;253.0891497356383;0.00039535851656193353;58.51306045116616
2010;2;guainía;640151.0;156000.0;253.0891497356383;0.00039535851656193353;61.67592858366163
2010;3;guainía;640151.0;160000.0;253.0891497356383;0.00039535851656193353;63.25736264990937
2010;4;guainía;640151.0;176000.0;253.0891497356383;0.00039535851656193353;69.5830989149003
2010;1;guaviare;640151.0;148000.0;547.6435839742129;0.0008554912574911433;126.61270610868921
2010;2;guaviare;640151.0;156000.0;547.6435839742129;0.0008554912574911433;133.45663616861836
2010;3;guaviare;640151.0;160000.0;547.6435839742129;0.0008554912574911433;136.87860119858294
2010;4;guaviare;640151.0;176000.0;547.6435839742129;0.0008554912574911433;150.5664613184412
2010;1;huila;640151.0;148000.0;11723.976802425374;0.018314392701761575;2710.530119860713
2010;2;huila;640151.0;156000.0;11723.976802425374;0.018314392701761575;2857.0452614748056
2010;3;huila;640151.0;160000.0;11723.976802425374;0.018314392701761575;2930.302832281852
2010;4;huila;640151.0;176000.0;11723.976802425374;0.018314392701761575;3223.3331155100373
2010;1;la guajira;640151.0;148000.0;7537.923684586167;0.011775227539418304;1742.733675833909
2010;2;la guajira;640151.0;156000.0;7537.923684586167;0.011775227539418304;1836.9354961492554
2010;3;la guajira;640151.0;160000.0;7537.923684586167;0.011775227539418304;1884.0364063069287
2010;4;la guajira;640151.0;176000.0;7537.923684586167;0.011775227539418304;2072.4400469376214
2010;1;magdalena;640151.0;148000.0;9138.294165773621;0.014275216575110593;2112.7320531163678
2010;2;magdalena;640151.0;156000.0;9138.294165773621;0.014275216575110593;2226.9337857172527
